eigenvalue	proportion	cumulative
  0.06808	  0.00007	  0.99844	-0.164pixel_873+0.15 pixel_777+0.137pixel_561-0.127pixel_169-0.121pixel_167...
  0.06745	  0.00007	  0.99851	0.173pixel_304+0.145pixel_329+0.124pixel_742+0.12 pixel_361+0.116pixel_725...
  0.06563	  0.00006	  0.99857	-0.226pixel_808+0.13 pixel_232+0.115pixel_496-0.114pixel_560-0.107pixel_200...
  0.06306	  0.00006	  0.99863	0.176pixel_590-0.121pixel_658-0.112pixel_905-0.111pixel_872+0.111pixel_626...
  0.06123	  0.00006	  0.99869	-0.136pixel_874+0.128pixel_264+0.126pixel_873+0.099pixel_594-0.097pixel_583...
  0.05957	  0.00006	  0.99875	-0.163pixel_583-0.124pixel_169+0.122pixel_424+0.113pixel_650+0.101pixel_617...
  0.05867	  0.00006	  0.99881	-0.154pixel_339-0.129pixel_462-0.116pixel_395+0.115pixel_929+0.109pixel_232...
  0.05706	  0.00006	  0.99886	0.122pixel_526-0.117pixel_537-0.113pixel_462-0.111pixel_395+0.103pixel_328...
  0.05624	  0.00005	  0.99892	-0.142pixel_836-0.135pixel_659-0.111pixel_800+0.11 pixel_466-0.106pixel_738...
  0.05346	  0.00005	  0.99897	0.172pixel_1024-0.14pixel_64-0.132pixel_808+0.118pixel_199+0.111pixel_339...
  0.05211	  0.00005	  0.99902	0.141pixel_327-0.134pixel_489-0.124pixel_528+0.116pixel_198-0.108pixel_870...
  0.05116	  0.00005	  0.99907	0.133pixel_134+0.108pixel_466+0.105pixel_329+0.102pixel_103-0.101pixel_458...
  0.05032	  0.00005	  0.99912	0.162pixel_336+0.11 pixel_494-0.109pixel_961+0.102pixel_1024+0.101pixel_691...
  0.04776	  0.00005	  0.99917	0.16 pixel_905+0.118pixel_626-0.117pixel_903-0.111pixel_593+0.107pixel_659...
  0.04611	  0.00005	  0.99921	0.139pixel_305+0.116pixel_233+0.114pixel_723-0.114pixel_721+0.11 pixel_369...
  0.04371	  0.00004	  0.99926	-0.181pixel_537+0.14 pixel_167-0.128pixel_371-0.123pixel_808+0.108pixel_294...
  0.04298	  0.00004	  0.9993 	-0.152pixel_424-0.151pixel_775+0.141pixel_169+0.115pixel_392-0.107pixel_16...
  0.04091	  0.00004	  0.99934	-0.14pixel_64+0.14 pixel_577+0.129pixel_496+0.125pixel_1024-0.118pixel_169...
  0.03928	  0.00004	  0.99938	-0.147pixel_232+0.132pixel_594-0.117pixel_562+0.111pixel_263-0.103pixel_402...
  0.03875	  0.00004	  0.99941	-0.194pixel_537+0.122pixel_655+0.118pixel_777+0.114pixel_935-0.112pixel_403...
  0.03566	  0.00003	  0.99945	0.173pixel_721-0.13pixel_580+0.125pixel_198-0.116pixel_808-0.112pixel_305...
  0.03521	  0.00003	  0.99948	0.125pixel_167+0.118pixel_625-0.111pixel_691-0.106pixel_338+0.101pixel_680...
  0.03454	  0.00003	  0.99952	-0.165pixel_753+0.136pixel_496-0.132pixel_533-0.129pixel_521-0.121pixel_722...
  0.03311	  0.00003	  0.99955	-0.146pixel_338-0.126pixel_721+0.118pixel_808-0.115pixel_265-0.114pixel_264...
  0.03223	  0.00003	  0.99958	0.171pixel_537-0.114pixel_772-0.111pixel_776+0.109pixel_773+0.107pixel_810...
  0.03137	  0.00003	  0.99961	-0.229pixel_537+0.131pixel_305+0.124pixel_72-0.121pixel_393-0.118pixel_334...
  0.03019	  0.00003	  0.99964	0.124pixel_530+0.12 pixel_402+0.115pixel_527-0.109pixel_532+0.108pixel_484...
  0.02948	  0.00003	  0.99967	-0.168pixel_305-0.128pixel_232+0.098pixel_620+0.097pixel_274-0.095pixel_743...
  0.02821	  0.00003	  0.9997 	-0.197pixel_264+0.125pixel_721+0.116pixel_273+0.11 pixel_234+0.107pixel_464...
  0.02692	  0.00003	  0.99972	-0.253pixel_808+0.128pixel_361-0.105pixel_399-0.104pixel_359+0.102pixel_804...
  0.02503	  0.00002	  0.99975	0.178pixel_721-0.141pixel_530-0.137pixel_537-0.13pixel_872-0.117pixel_627...
  0.02255	  0.00002	  0.99977	0.163pixel_690+0.124pixel_274+0.117pixel_526-0.111pixel_527-0.108pixel_743...
  0.02252	  0.00002	  0.99979	-0.184pixel_531+0.152pixel_339-0.111pixel_659+0.104pixel_754-0.098pixel_263...
  0.02085	  0.00002	  0.99981	0.165pixel_305-0.156pixel_103+0.142pixel_775+0.129pixel_744+0.123pixel_531...
  0.01942	  0.00002	  0.99983	0.212pixel_721+0.171pixel_274-0.127pixel_691-0.116pixel_499+0.104pixel_464...
  0.01889	  0.00002	  0.99985	0.177pixel_336-0.153pixel_262+0.149pixel_720-0.129pixel_776+0.113pixel_337...
  0.0175 	  0.00002	  0.99987	-0.273pixel_531-0.124pixel_335-0.114pixel_744+0.1  pixel_492-0.099pixel_659...
  0.01601	  0.00002	  0.99988	-0.209pixel_496-0.171pixel_569-0.149pixel_594-0.123pixel_931-0.107pixel_200...
  0.01475	  0.00001	  0.9999 	0.133pixel_594+0.125pixel_71-0.111pixel_531+0.102pixel_900-0.102pixel_339...
  0.01431	  0.00001	  0.99991	0.165pixel_199-0.161pixel_337-0.143pixel_774-0.139pixel_465-0.121pixel_712...
  0.0139 	  0.00001	  0.99992	-0.138pixel_418-0.13pixel_527-0.12pixel_720-0.12pixel_711-0.114pixel_719...
  0.01186	  0.00001	  0.99994	-0.153pixel_232-0.149pixel_807+0.14 pixel_199+0.136pixel_136+0.128pixel_837...
  0.01045	  0.00001	  0.99995	0.15 pixel_746+0.138pixel_838+0.126pixel_747-0.123pixel_569-0.108pixel_625...
  0.00977	  0.00001	  0.99996	-0.158pixel_744+0.134pixel_776+0.125pixel_336-0.12pixel_935+0.115pixel_463...
  0.00893	  0.00001	  0.99996	-0.126pixel_40-0.117pixel_526-0.11pixel_687-0.104pixel_399-0.103pixel_1005...
  0.00839	  0.00001	  0.99997	-0.159pixel_327+0.151pixel_296+0.143pixel_367+0.127pixel_495+0.108pixel_743...
  0.00715	  0.00001	  0.99998	-0.219pixel_595-0.218pixel_467-0.185pixel_136-0.146pixel_872+0.145pixel_41...
  0.00631	  0.00001	  0.99999	-0.167pixel_690+0.161pixel_232+0.152pixel_325-0.13pixel_594-0.122pixel_495...
  0.00562	  0.00001	  0.99999	-0.19pixel_336+0.17 pixel_337-0.135pixel_772+0.131pixel_265+0.129pixel_231...
  0.00498	  0      	  1      	-0.157pixel_265+0.14 pixel_746-0.126pixel_594-0.125pixel_369+0.124pixel_196...
  0.0039 	  0      	  1      	0.241pixel_562+0.203pixel_305-0.169pixel_463-0.154pixel_498-0.148pixel_938...
  0      	  0      	  1      	-0.768pixel_1023+0.222pixel_1021+0.113pixel_1020+0.081pixel_1022+0.071pixel_1024...
  0      	  0      	  1      	-0.679pixel_1021+0.207pixel_1020+0.155pixel_1022-0.143pixel_1023+0.103pixel_990...
  0      	  0      	  1      	0.781pixel_1020-0.204pixel_1022-0.117pixel_989-0.116pixel_1024-0.101pixel_990...
  0      	  0      	  1      	0.6  pixel_1022-0.127pixel_991-0.122pixel_1024-0.098pixel_990-0.092pixel_989...
  0      	  0      	  1      	0.688pixel_1019-0.139pixel_1018-0.107pixel_1010+0.098pixel_460-0.096pixel_445...
  0      	  0      	  1      	0.669pixel_1018-0.124pixel_1010-0.117pixel_866-0.104pixel_1014-0.091pixel_5...
  0      	  0      	  1      	-0.631pixel_1010+0.122pixel_68+0.1  pixel_1011+0.097pixel_196-0.096pixel_972...
  0      	  0      	  1      	0.251pixel_1012-0.141pixel_919-0.139pixel_1014-0.128pixel_733-0.118pixel_549...
  0      	  0      	  1      	0.2  pixel_1012-0.136pixel_978+0.134pixel_790+0.133pixel_1008-0.129pixel_882...
  0      	  0      	  1      	-0.135pixel_1012+0.126pixel_669+0.114pixel_1001-0.104pixel_968+0.103pixel_763...
  0      	  0      	  1      	-0.152pixel_886+0.133pixel_1015-0.13pixel_852-0.116pixel_750-0.108pixel_1012...
  0      	  0      	  1      	-0.142pixel_860+0.138pixel_883-0.123pixel_918-0.119pixel_1008-0.114pixel_452...
  0      	  0      	  1      	-0.127pixel_548-0.096pixel_156-0.095pixel_187+0.094pixel_753+0.093pixel_1008...
  0      	  0      	  1      	-0.114pixel_796-0.111pixel_1008+0.104pixel_884+0.101pixel_846-0.1pixel_762...
  0      	  0      	  1      	-0.197pixel_1012+0.131pixel_1008-0.121pixel_221+0.12 pixel_604+0.106pixel_883...
